,center_x,center_y,LON,LAT
24,721666.001,6178113.565,12.52753821310378,55.698045965784644
25,722466.001,6178113.565,12.54024200512526,55.6976799472195
26,722866.001,6178113.565,12.546593791215676,55.69749644574189
27,721266.001,6178113.565,12.521186207432875,55.698228482855896
28,722466.001,6176913.565,12.539268458250893,55.68691805572706
29,722866.001,6177713.565,12.546268622905833,55.69390917647608
30,726466.001,6173313.565,12.599796881886496,55.652785384901016
31,723666.001,6179713.565,12.56060318837108,55.7114773049176
32,725666.001,6175713.565,12.589080004033361,55.67468011960376
33,724866.001,6176513.565,12.577039801947802,55.682225412581325
34,724866.001,6178513.565,12.578679756293184,55.70016115928614
35,720466.001,6177713.565,12.50816028580021,55.695005116728446
36,719266.001,6175713.565,12.487506453302247,55.67761116489766
37,726866.001,6174113.565,12.606801341103992,55.65977301670369
38,726066.001,6175313.565,12.595098369404488,55.67090705075629
39,723666.001,6175313.565,12.557014400444443,55.67201784699422
40,722066.001,6172913.565,12.529683723035967,55.6512277207292
41,719266.001,6172913.565,12.485271328966453,55.65249853574558
42,723266.001,6175313.565,12.550666814086457,55.67220183245723
43,724466.001,6176113.565,12.570363510775358,55.67882327134615
44,722066.001,6179313.565,12.534862613474333,55.70862505526055
45,722466.001,6173313.565,12.536351770993969,55.65463219955656
46,723266.001,6178113.565,12.552945503852454,55.697312616145155
47,721266.001,6178513.565,12.521509130973673,55.701815846637395
48,724066.001,6174513.565,12.5627092067493,55.66465909217877
49,725666.001,6174913.565,12.588422522810548,55.6675058827582
50,724466.001,6174913.565,12.569382383895148,55.66806169827292
51,720866.001,6173313.565,12.510971673911921,55.6553617529604
52,724866.001,6175713.565,12.576384338456153,55.6750510901539
53,722066.001,6179713.565,12.535186915887916,55.71221236009941
54,725266.001,6176913.565,12.583717250743621,55.6856271730075
55,723266.001,6180513.565,12.554901535978987,55.718836013395276
56,722466.001,6177313.565,12.539592900589838,55.690505356256864
57,722866.001,6173313.565,12.542696612957284,55.65444899217489
58,720466.001,6172913.565,12.504305646690646,55.65195586632899
59,722066.001,6178913.565,12.534538384322117,55.70503774705913
60,722466.001,6174113.565,12.536999411771408,55.661806857807136
61,722866.001,6174513.565,12.543669918038175,55.66521090104235
62,727266.001,6173313.565,12.612485016034467,55.65241209144118
63,724866.001,6179713.565,12.579664618237967,55.71092256659045
64,723666.001,6171713.565,12.554084740697236,55.63973253197093
65,724866.001,6176113.565,12.576712033207222,55.67863825306342
66,718066.001,6179313.565,12.471322621210586,55.710439467706344
67,723266.001,6174913.565,12.550341580857795,55.66861456415014
68,724066.001,6176913.565,12.564668210639246,55.686182376257086
69,722866.001,6174113.565,12.543345409791504,55.66162360145414
70,722466.001,6179313.565,12.541216211911859,55.70844180841664
71,722866.001,6178913.565,12.547244348218976,55.70467097416137
72,723266.001,6178513.565,12.553271325114977,55.700899857459646
73,724866.001,6179313.565,12.579336256758154,55.70733543421626
74,721266.001,6178913.565,12.521832127470327,55.70540320706584
75,727266.001,6174913.565,12.613808335567066,55.66676020746489
76,724866.001,6178913.565,12.57900796945086,55.703748298448055
77,723666.001,6178913.565,12.559950018119716,55.70430288843791
78,720066.001,6179713.565,12.503414927370946,55.71312379203876
79,723666.001,6174913.565,12.556688588778727,55.66843060327559
80,724866.001,6180113.565,12.579993053913228,55.714509695570314
81,722866.001,6176913.565,12.545618506556343,55.68673462783376
82,726466.001,6174913.565,12.601115578068274,55.66713370050402
83,725666.001,6175313.565,12.588751226320303,55.671093002880994
84,718466.001,6179313.565,12.477676946401495,55.71025950389168
85,726066.001,6172113.565,12.592466194323228,55.642210193270245
86,724466.001,6176913.565,12.571017964622643,55.68599763645993
87,723666.001,6176913.565,12.55831838288045,55.68636678809059
88,717666.001,6179713.565,12.465286145705496,55.71420667470467
89,722866.001,6174913.565,12.543994499534687,55.6687981972626
90,726466.001,6174113.565,12.60045608118974,55.659959549518916
91,723266.001,6174513.565,12.550016421031312,55.66502729247029
92,719666.001,6174913.565,12.493215222041854,55.6702554617498
93,719266.001,6177313.565,12.488785253995035,55.69196116546815
94,725666.001,6176113.565,12.589408855972621,55.678267232926146
95,721666.001,6179313.565,12.52850894177544,55.70880797383804
96,724866.001,6178113.565,12.578351617262218,55.69657401673081
97,725266.001,6174913.565,12.58207588384624,55.66769148232024
98,720466.001,6179313.565,12.509447488412645,55.70935475989052
99,725266.001,6174513.565,12.581747832710388,55.664104333995894
100,723666.001,6178113.565,12.559297142905539,55.69712845843747
101,718866.001,6178913.565,12.483711609599602,55.70649170908973
102,722866.001,6175313.565,12.544319154303638,55.67238549011456
103,720066.001,6178913.565,12.50277219518014,55.70594893526284
104,723666.001,6175713.565,12.557340285664761,55.67560508733534
105,726066.001,6174513.565,12.594439880094484,55.66373285680618
106,726066.001,6173713.565,12.593781687933099,55.65655864924017
107,724066.001,6177713.565,12.565321801896292,55.69335677722075
108,726866.001,6173713.565,12.606471126401392,55.65618596102206
109,723266.001,6177713.565,12.552619756173627,55.69372537145556
110,721666.001,6172913.565,12.523339312976296,55.65141024850253
111,720066.001,6176913.565,12.501166634597817,55.688011734877506
112,719266.001,6175313.565,12.48718693355703,55.67402365643196
113,722866.001,6178513.565,12.54691903297916,55.70108371163709
114,722866.001,6172513.565,12.54204810885136,55.64727436942721
115,727266.001,6173713.565,12.612815733949695,55.65599912557288
116,719266.001,6178913.565,12.49006521049725,55.70631111275756
117,724466.001,6181313.565,12.57462274991244,55.72545640230077
118,722466.001,6174913.565,12.537647344939135,55.668981502604794
119,722866.001,6177313.565,12.545943528026944,55.69032190383994
120,721666.001,6178913.565,12.528185292450509,55.705220641177945
121,719266.001,6173313.565,12.485590416285524,55.656086064179085
122,727666.001,6172113.565,12.617835532773274,55.64146390554534
123,723666.001,6180113.565,12.560929884192692,55.71506450808642
124,719666.001,6177713.565,12.495456924172373,55.69536780523811
125,724066.001,6176513.565,12.564341525685212,55.68259517070031
126,725266.001,6179313.565,12.585689338721226,55.70714988973673
127,718866.001,6179313.565,12.484031199503207,55.71007921173778
128,722466.001,6173713.565,12.536675554845177,55.65821953036332
129,721666.001,6180513.565,12.529480328627637,55.719569951668646
130,720866.001,6177713.565,12.514511857703171,55.69482328028313
131,723666.001,6174513.565,12.556362850644918,55.664843356179716
132,722866.001,6172913.565,12.542372324324573,55.65086168248445
