AAR;UHELDSART;UHELDKOMMUNE;X_KOORDINAT;Y_KOORDINAT;UHELDSDATO;TIME
2022;Exuh;København;723531,284;6180073,253;25-01-2022;17
2022;Anmsuh;København;722323,651;6178459,18;26-01-2022;8
2022;Anmsuh;København;724337,118;6175754,916;26-01-2022;17
2022;Anmsuh;København;722481,798;6174248,655;26-01-2022;17
2022;Anmsuh;København;724844,001;6169654,001;04-01-2022;14
2022;Exuh;København;722083,901;6178112,01;08-01-2022;15
2022;Exuh;København;726518,151;6174457,59;03-01-2022;8
2022;Anmsuh;København;720441,001;6174544,001;10-01-2022;6
2022;Anmsuh;København;724874,001;6179528,001;19-01-2022;8
2022;Exuh;København;720672,227;6172721,212;27-01-2022;13
2022;Exuh;København;719512,001;6174903,001;27-01-2022;16
2022;Exuh;København;723343,001;6176931,001;27-01-2022;17
2022;Pskduh;København;721211,737;6178413,103;26-01-2022;22
2022;Mskduh;København;723599,581;6179884,54;21-01-2022;18
2022;Mskduh;København;722599,001;6177016,001;25-01-2022;9
2022;Mskduh;København;724444,001;6181581,001;25-01-2022;21
2022;Mskduh;København;723164,001;6179540,001;27-01-2022;8
2022;Anmsuh;København;721373,001;6174012,001;21-01-2022;3
2022;Anmsuh;København;721749,001;6180670,001;25-01-2022;13
2022;Anmsuh;København;726477,481;6174543,026;27-01-2022;23
2022;Mskduh;København;722844,085;6174596,729;22-01-2022;4
2022;Pskduh;København;722562,493;6179070,139;28-01-2022;9
2022;Pskduh;København;724313,81;6181484,326;01-02-2022;16
2022;Pskduh;København;726625,522;6173329,697;02-02-2022;11
2022;Pskduh;København;723114,001;6175307,001;03-02-2022;8
2022;Pskduh;København;719918,001;6173745,001;03-02-2022;17
2022;Anmsuh;København;724660,001;6176624,001;25-01-2022;9
2022;Exuh;København;727316,451;6173018,45;23-01-2022;12
2022;Pskduh;København;725223,61;6176521,899;21-01-2022;17
2022;Exuh;København;720951,112;6172475,813;27-01-2022;17
2022;Anmsuh;København;725722,152;6178661,539;25-01-2022;12
2022;Anmsuh;København;722912,15;6174852,612;28-01-2022;13
2022;Anmsuh;København;725610,001;6174910,001;28-01-2022;22
