,ix,iy,count,center_x,center_y
206,13,30,13,722466.001,6180913.565
390,21,8,13,725666.001,6172113.565
376,20,22,13,725266.001,6177713.565
348,19,20,13,724866.001,6176913.565
170,12,9,13,722066.001,6172513.565
329,18,30,13,724466.001,6180913.565
74,6,19,13,719666.001,6176513.565
165,11,30,13,721666.001,6180913.565
289,17,15,13,724066.001,6174913.565
159,11,24,13,721666.001,6178513.565
422,22,17,13,726066.001,6175713.565
86,7,10,13,720066.001,6172913.565
125,9,21,13,720866.001,6177313.565
444,23,17,13,726466.001,6175713.565
127,9,23,13,720866.001,6178113.565
67,6,10,13,719666.001,6172913.565
201,13,25,12,722466.001,6178913.565
392,21,11,12,725666.001,6173313.565
93,7,21,12,720066.001,6177313.565
375,20,21,12,725266.001,6177313.565
505,28,13,12,728466.001,6174113.565
457,24,15,12,726866.001,6174913.565
325,18,26,12,724466.001,6179313.565
287,17,13,12,724066.001,6174113.565
80,6,25,12,719666.001,6178913.565
34,4,19,12,718866.001,6176513.565
156,11,13,12,721666.001,6174113.565
185,13,2,12,722466.001,6169713.565
13,2,27,12,718066.001,6179713.565
108,8,14,11,720466.001,6174513.565
135,10,10,11,721266.001,6172913.565
56,5,20,11,719266.001,6176913.565
110,8,21,11,720466.001,6177313.565
333,19,2,11,724866.001,6169713.565
335,19,4,11,724866.001,6170513.565
226,14,26,11,722866.001,6179313.565
252,15,26,11,723266.001,6179313.565
54,5,18,11,719266.001,6176113.565
3,0,28,11,717266.001,6180113.565
489,26,14,11,727666.001,6174513.565
300,17,26,10,724066.001,6179313.565
326,18,27,10,724466.001,6179713.565
439,23,12,10,726466.001,6173713.565
338,19,7,10,724866.001,6171713.565
404,21,24,10,725666.001,6178513.565
473,25,14,10,727266.001,6174513.565
10,2,23,10,718066.001,6178113.565
235,15,8,10,723266.001,6172113.565
167,12,1,10,722066.001,6169313.565
456,24,14,10,726866.001,6174513.565
301,17,27,10,724066.001,6179713.565
194,13,14,10,722466.001,6174513.565
38,4,23,10,718866.001,6178113.565
7,1,26,10,717666.001,6179313.565
434,23,7,10,726466.001,6171713.565
186,13,3,10,722466.001,6170113.565
35,4,20,10,718866.001,6176913.565
198,13,22,10,722466.001,6177713.565
416,22,11,10,726066.001,6173313.565
418,22,13,10,726066.001,6174113.565
469,25,10,10,727266.001,6172913.565
401,21,21,10,725666.001,6177313.565
32,4,16,10,718866.001,6175313.565
66,6,9,10,719666.001,6172513.565
295,17,21,10,724066.001,6177313.565
273,16,22,9,723666.001,6177713.565
487,26,12,9,727666.001,6173713.565
377,20,23,9,725266.001,6178113.565
367,20,13,9,725266.001,6174113.565
269,16,18,9,723666.001,6176113.565
488,26,13,9,727666.001,6174113.565
327,18,28,9,724466.001,6180113.565
162,11,27,9,721666.001,6179713.565
69,6,12,9,719666.001,6173713.565
203,13,27,9,722466.001,6179713.565
205,13,29,9,722466.001,6180513.565
405,21,25,9,725666.001,6178913.565
406,21,26,9,725666.001,6179313.565
414,22,9,9,726066.001,6172513.565
37,4,22,9,718866.001,6177713.565
334,19,3,9,724866.001,6170113.565
233,15,6,9,723266.001,6171313.565
