,center_x,center_y,LON,LAT
0,724066.001,6176113.565,12.564014914545206,55.67900796287476
1,724066.001,6175713.565,12.563688377073648,55.67542075055248
2,724466.001,6175713.565,12.57003639471415,55.67523608482259
3,722066.001,6178513.565,12.534214228469587,55.701450436609605
4,725266.001,6176513.565,12.583388829187244,55.68204004277642
5,726466.001,6174513.565,12.600785792482611,55.66354662782984
6,721266.001,6174113.565,12.517960979704982,55.66235466180022
7,724466.001,6175313.565,12.569709352428324,55.671648893798086
8,720866.001,6172913.565,12.510650274734463,55.65177432242473
9,726066.001,6174913.565,12.594769087656346,55.6673199565975
10,723666.001,6176513.565,12.557992276921354,55.682779558997964
11,718866.001,6177313.565,12.482433971793888,55.69214166634671
12,723666.001,6177313.565,12.558644562607675,55.689954016032786
13,724866.001,6175313.565,12.576056717733346,55.6714639249672
14,723666.001,6179313.565,12.560276566415773,55.70789009948212
15,724466.001,6176513.565,12.570690700819279,55.682410456710876
16,722466.001,6178513.565,12.54056666742807,55.70126723876589
17,720866.001,6178913.565,12.51547888957239,55.70558544582887
18,724066.001,6175313.565,12.563361913309194,55.67183353484788
19,724466.001,6177313.565,12.571345302454395,55.689584815049535
20,725266.001,6176113.565,12.583060481711309,55.6784529080348
21,725666.001,6176513.565,12.589737782222853,55.68185434396203
22,721266.001,6174513.565,12.51828317492499,55.66594205909647
23,723266.001,6176913.565,12.55196848153739,55.68655087306636
24,721666.001,6178113.565,12.527538213164606,55.69804596689881
25,722466.001,6178113.565,12.540242005186304,55.69767994833364
26,722866.001,6178113.565,12.546593791276829,55.69749644685603
27,721266.001,6178113.565,12.521186207493592,55.69822848397006
28,722466.001,6176913.565,12.539268458311891,55.68691805684123
29,722866.001,6177713.565,12.54626862296697,55.69390917759022
30,726466.001,6173313.565,12.599796881948443,55.65278538601517
31,723666.001,6179713.565,12.560603188432513,55.71147730603171
32,725666.001,6175713.565,12.58908000409518,55.67468012071789
33,724866.001,6176513.565,12.577039802009436,55.68222541369545
34,724866.001,6178513.565,12.578679756354896,55.70016116040026
35,720466.001,6177713.565,12.508160285860694,55.69500511784262
36,719266.001,6175713.565,12.487506453362329,55.67761116601187
37,726866.001,6174113.565,12.606801341166076,55.659773017817805
38,726066.001,6175313.565,12.595098369466404,55.67090705187044
39,723666.001,6175313.565,12.557014400505704,55.672017848108375
40,722066.001,6172913.565,12.529683723096701,55.651227721843405
41,719266.001,6172913.565,12.485271329026428,55.652498536859824
42,723266.001,6175313.565,12.55066681414761,55.67220183357139
43,724466.001,6176113.565,12.570363510836868,55.678823272460285
44,722066.001,6179313.565,12.534862613535315,55.7086250563747
45,722466.001,6173313.565,12.536351771054827,55.65463220067075
46,723266.001,6178113.565,12.552945503913717,55.69731261725929
47,721266.001,6178513.565,12.521509131034406,55.70181584775156
48,724066.001,6174513.565,12.56270920681064,55.66465909329294
49,725666.001,6174913.565,12.588422522872337,55.66750588387234
