cell_id,index,par,id,dist,lat,lon
"(717514.445, 6178963.565)",0,mean_radiation,06187,8.792144877041466,55.6886,12.5985
"(717514.445, 6178963.565)",1,mean_wind_speed,06186,5.643358467486571,55.6861,12.5439
"(717514.445, 6178963.565)",2,mean_relative_hum,06186,5.643358467486571,55.6861,12.5439
"(717514.445, 6178963.565)",3,mean_temp,06186,5.643358467486571,55.6861,12.5439
"(717514.445, 6178963.565)",4,acc_precip,05735,7.334433053590313,55.6877,12.5739
